References,ID,Phylum,Class,Order,Family,Genus,Species,Habitat,t_min,t_max,t_opt,max_growth,Longitude,Latitude,Cell_Volume_um3,Thermal_breadth_C,Environmental_annual_mean_temperature_C,Environmental_lowest_temperature_C,Environmental_highest_temperature_C,Environmental_temperature_range_C
Juhl (2005),12,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium monilatum,Marine,15,NA,31,0.65,-88.8,30.2,6.02E+04,NA,24.2,18.6,29.5,10.9
ÀStergaard Jensen and Moestrup (1997),13,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,9.4,26.3,20.3,0.22,9.1,56.6,1.94E+04,16.9,9.5,3.5,16.1,12.6
Morton et al. (1992),14,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,16,37,27,0.37,-81.1,24.7,1.11E+04,21,26.7,23.9,29.4,5.5
Hulburt (1982),15,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,11,34,28,0.9,50.8,28.9,1.93E+03,23,26.2,19.1,32.5,13.4
Foy et al. (1976),16,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena flosaquae,Freshwater,NA,NA,20,0.8,-6.4,54.6,8.37E+02,NA,10.9,7.3,14.4,7.1
Butterwick et al. (2005),17,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,NA,30,17,1.11,-3,54.4,2.53E+03,NA,9.4,6,13.5,7.5
Suzuki and Takahashi (1995),18,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,2,30,20,1.27,140,36,1.56E+02,28,21.5,17.4,24.6,7.2
Hulburt (1982),19,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Marine,NA,27.5,17,1.28,-70.3,41.9,4.44E+03,NA,8.9,2.4,16.8,14.5
Baars (1981),20,Bacillariophyta,Mediophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,Biddulphia aurita,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Baars (1981),21,Bacillariophyta,Mediophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,Biddulphia regia,Marine,NA,NA,12,0.68,3.6,51.4,8.08E+05,NA,11,5,17.2,12.3
Baars (1981),22,Bacillariophyta,Mediophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,Biddulphia sinensis,Marine,NA,NA,30,0.99,3.6,51.4,9.32E+05,NA,11,5,17.2,12.3
Buitenhuis et al. (2008),23,Haptophyta,Prymnesiophyceae,Coccolithales,Calcidiscaceae,Calcidiscus,Calcidiscus leptoporus strain N482-1,Marine,6,25,20,0.44,14,-23,3.08E+02,19,15.8,14.2,18.1,3.9
Buitenhuis et al. (2008),24,Haptophyta,Prymnesiophyceae,Coccolithales,Calcidiscaceae,Calcidiscus,Calcidiscus leptoporus strain NS10-2,Marine,6,25,12,0.57,17.2,-34.3,2.91E+02,19,18.1,15.7,20.3,4.6
Baek et al. (2008),25,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,Ceratium furca,Marine,10,32,24,0.58,139.4,35.2,1.26E+05,22,21.5,16.9,26.6,9.7
Butterwick et al. (2005),26,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,Ceratium furcoides,Freshwater,8,30,20,0.2,-3,54.4,1.51E+05,22,9.4,6,13.5,7.5
Baek et al. (2008),27,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,Ceratium fusus,Marine,10,32,26,0.53,139.2,35.2,1.78E+05,22,21.5,16.9,26.6,9.7
Baars (1981),28,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros diadema,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Suzuki and Takahashi (1995),29,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros pseudocurvisetus,Marine,15,35,25,1.58,139.4,35.2,1.84E+03,20,21.5,16.9,26.6,9.7
Renaud et al. (2002),30,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. strain CS256,Marine,NA,NA,30,0.87,146,-17.5,6.60E+01,NA,26.6,24.8,29.3,4.5
Suzuki and Takahashi (1995),31,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp.,Marine,NA,15,5.2,0.58,-95.2,74.7,2.33E+03,NA,-1.3,-2,0.4,2.3
Thomas (1966),32,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp.,Marine,NA,40,29,4.4,-89.2,9.8,2.02E+02,NA,27.3,26.1,28.7,2.6
Baars (1981),33,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros teres,Marine,NA,NA,12,1.21,3.6,51.4,2.47E+04,NA,11,5,17.2,12.3
Kahn (1998),34,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella marina,Marine,10,35,25,0.42,130.7,31.4,1.15E+04,25,24,20.1,28.6,8.4
Wang et al. (2011),35,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella marina,Marine,15,NA,25,0.26,114.5,22.6,1.15E+04,NA,25.4,21,28.7,7.7
Nakamura (1983),36,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella marina var. antiqua,Marine,10,31,25,0.51,134.6,34.5,1.15E+04,21,23.1,11.2,28.4,17.2
Seaburg et al. (1981),37,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas alpina,Freshwater,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Seaburg et al. (1981),38,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas globosa,Freshwater,NA,NA,18,1.26,162.5,-77.5,1.44E+02,NA,-1.1,-2,0.6,2.6
Seaburg et al. (1981),39,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas intermedia,Freshwater,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Seaburg et al. (1981),40,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas subcaudata,Freshwater,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Teoh et al. (2004),41,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas UMACC 229,Marine,NA,NA,9,0.4,110.5,-66.3,1.44E+02,NA,-1.6,-2,-0.9,1.2
James et al. (1989),42,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella MFD1,Marine,NA,NA,25,0.21,48.1,29.3,2.25E+01,NA,24.3,17.1,30.8,13.7
Edvardsen and Paasche (1992),43,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina polylepis strain K,Marine,NA,NA,19,0.89,9.5,58.5,1.80E+02,NA,9.2,2.1,16.7,14.6
Edvardsen and Paasche (1992),44,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina polylepis strain B4,Marine,NA,NA,14,0.8,10.8,59,1.80E+02,NA,9.2,2.1,16.7,14.6
Edvardsen and Paasche (1992),45,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina polylepis strain B3,Marine,NA,NA,14,0.89,10.8,59,1.80E+02,NA,9.2,2.1,16.7,14.6
Buitenhuis et al. (2008),46,Haptophyta,Prymnesiophyceae,Coccolithales,Coccolithaceae,Coccolithus,Coccolithus pelagicus ssp. braarudii,Marine,NA,NA,15,0.38,12,-25,1.29E+03,NA,17.8,15.7,18.9,3.2
Yamatogi (2005),47,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,Cochlodinium polykrikoides strain 02B1,Marine,10,NA,27.5,0.57,128.3,32.9,2.46E+04,NA,21.2,16,27.8,11.7
Yamatogi (2005),48,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,Cochlodinium polykrikoides strain 02B2,Marine,10,NA,27.5,0.58,128.3,32.9,2.46E+04,NA,21.2,16,27.8,11.7
Yamatogi (2005),49,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,Cochlodinium polykrikoides strain 03H1,Marine,12.5,NA,27.5,0.61,129.2,34.3,2.46E+04,NA,19.2,13.3,26.9,13.5
Yamatogi (2005),50,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,Cochlodinium polykrikoides strain KG8-ND14,Marine,NA,NA,27.5,0.62,129.1,33,2.46E+04,NA,21.7,16.9,27.9,11
Guillard & Ryther (1962),51,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,Conticribra guillardii clone 7-15,Marine,NA,NA,15,1.48,-70.1,39.6,9.81E+02,NA,15.8,9.6,23.1,13.4
Morton et al. (1992),52,Dinoflagellata,Dinophyceae,Peridiniales,Ostreopsidaceae,Coolia,Coolia monotis,Marine,21,35,29,0.2,-81.1,24.7,1.66E+04,14,26.7,23.9,29.4,5.5
Fiala & Oriol (1990),53,Bacillariophyta,Bacillariophyceae,Corethrales,Corethraceae,Corethron,Corethron pennatum,Marine,NA,7,4,0.26,62,-58,3.80E+04,NA,0.8,-0.7,2.5,3.1
Baars (1981),54,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus concinnus,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Baars (1981),55,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus granii,Marine,NA,NA,30,0.7,3.6,51.4,2.20E+06,NA,11,5,17.2,12.3
Baars (1981),56,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus Jonesianus var. commutata,Marine,NA,NA,30,0.74,3.6,51.4,8.32E+04,NA,11,5,17.2,12.3
Baars (1981),57,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus pavillardii,Marine,NA,NA,30,0.88,3.6,51.4,3.19E+06,NA,11,5,17.2,12.3
Baars (1981),58,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus radiatus,Marine,NA,NA,30,0.83,3.6,51.4,2.05E+05,NA,11,5,17.2,12.3
Boyd et al. (2013),59,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 3A,Marine,22,35,28,0.34,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),60,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 4A,Marine,22,35,28,0.34,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),61,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 5A,Marine,22,35,28,0.34,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),62,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 6A,Marine,22,35,28,0.34,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),63,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 7A,Marine,22,35,28,0.34,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),64,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 8A,Marine,22,35,28,0.34,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),65,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 84,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),66,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 85,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),67,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 86,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),68,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 87,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),69,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 88,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),70,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii strain 89,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),71,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii WH005,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),72,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii WH006,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),73,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii WH007,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),74,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii WH008,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),75,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii WH009,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Boyd et al. (2013),76,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Crocosphaera,Crocosphaera watsonii WH010,Marine,22,35,28,0.4,-49.3,7,3.35E+01,13,27.6,26.7,28.3,1.6
Morgan and Kalff (1979),77,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas erosa,Freshwater,NA,NA,23.5,0.83,-73.2,45.5,2.11E+03,NA,7.9,2,15.3,13.3
Butterwick et al. (2005),78,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas marssonii,Freshwater,NA,30,11,0.56,-3,54.4,2.59E+03,NA,9.4,6,13.5,7.5
Renaud et al. (2002),79,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas sp. strain CRFI01,Marine,NA,33,25,0.33,146,-16.9,4.70E+01,NA,26.5,24.7,29,4.3
Throndsen (1976),80,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas sp. strain F,Marine,NA,NA,22,0.97,5.2,60.3,4.70E+01,NA,9.4,5.5,14.7,9.1
Maddux & Jones (1964),81,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium,Marine,NA,NA,22.5,0.57,-74,40.4,8.01E+01,NA,13.8,5.6,23.6,18
Renaud et al. (1995),82,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium,Marine,15,NA,20,0.38,130.8,-12.5,8.01E+01,NA,28.6,26.5,30.5,4
Ignatiades & Smayda (1970),83,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,Dactyliosolen fragilissimus,Marine,NA,NA,18,0.85,-71.3,41.6,1.20E+05,NA,12.5,4.9,21.5,16.5
Guillard & Ryther (1962),84,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemaceae,Detonula,Detonula confervacea,Marine,NA,20,10,0.97,-71.3,41.6,2.99E+03,NA,12.5,4.9,21.5,16.5
Smayda (1969),85,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Detonula,Detonula confervacea,Marine,NA,16,12,1.04,-71.3,41.6,2.99E+03,NA,12.5,4.9,21.5,16.5
Suzuki and Takahashi (1995),86,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Detonula,Detonula confervacea,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Butterwick et al. (2005),87,Chrysophyte,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,Dinobryon divergens,Freshwater,NA,30,17,0.5,-3,54.4,2.34E+02,NA,9.4,6,13.5,7.5
Reay et al. (1999),88,Chlorophyta,Chlorophyceae,Volvocales,Dunaliellaceae,Dunaliella,Dunaliella tertiolecta strain CCAP 19/6B,Marine,NA,NA,20,2.4,10.6,59.5,2.27E+02,NA,9.2,2.1,16.7,14.6
Buitenhuis et al. (2008),89,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi R strain TQ26,Marine,NA,NA,20,1.38,169.5,-42.2,3.56E+01,NA,15.3,12.8,19.2,6.4
Conte et al. (1998),90,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi strain G1779Ga,Marine,NA,NA,21,1.21,-20,60,3.56E+01,NA,10,8.1,12.2,4.1
Conte et al. (1998),91,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi strain B92/21,Marine,NA,27,18,0.95,5.6,60.4,3.56E+01,NA,9.4,5.5,14.7,9.1
Conte et al. (1998),92,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi strain Van556,Marine,NA,NA,18,0.76,-144.7,49.7,3.56E+01,NA,8.6,5.6,12.9,7.3
Conte et al. (1998),93,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,"Emiliania huxleyi strain M181, Bigelow 1A1",Marine,NA,NA,24,1.01,-62,32,3.56E+01,NA,22.9,19.3,27.6,8.4
Rhodes et al. (1995),94,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,Marine,10,30,20,0.98,168.1,-47,3.56E+01,20,11.2,9.4,12.8,3.4
Watabe & Wilbur (1966),95,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,Marine,NA,NA,18,0.88,-64.5,32.2,3.56E+01,NA,22.9,19.3,27.4,8.1
Conte et al. (1998),96,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi strain S. Africa,Marine,9,NA,24,0.88,31,-29.8,3.56E+01,NA,23.8,21.8,26.4,4.7
Mjaaland (1956),97,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi clone M,Marine,7,NA,20,0.49,2,66,3.56E+01,NA,8.1,6.2,11.4,5.2
Nishikawa & Yamaguchi (2006),98,Bacillariophyta,Coscinodiscophyceae,Hemiaulales,Hemiaulaceae,Eucampia,Eucampia zodiacus,Marine,NA,NA,20,3.08,134.6,34.5,2.00E+04,NA,23.1,11.2,28.4,17.2
Throndsen (1976),99,Euglenozoa,Euglenophyceae,Eutreptiales,Eutreptiaceae,Eutreptiella,Eutreptiella gymnastica,Marine,NA,NA,20,1.52,10.5,59.5,1.47E+04,NA,9.2,2.1,16.7,14.6
de Boer et al. (2005),100,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica strain CAWR-19,Marine,6,35,25,0.31,174.9,-41.3,4.40E+03,29,15.1,12.4,18.1,5.7
de Boer et al. (2005),101,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica strain CCRuG-C13,Marine,9.5,32,24.5,0.4,8.9,54.1,3.69E+03,22.5,10.3,3.5,17.3,13.8
de Boer et al. (2005),102,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica strain CS-332,Marine,9.5,32,24.5,0.36,134.3,34.3,4.39E+03,22.5,23.1,18.8,28.4,9.5
Fiala & Oriol (1990),103,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,NA,10,5,0.59,62,-58,2.36E+01,NA,0.4,-0.7,2.4,3.1
Fiala & Oriol (1990),104,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,NA,8,4,0.54,62,-58,8.25E+02,NA,0.4,-1.2,2.5,3.6
Morton et al. (1992),105,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,19,35,29,0.16,-81.1,24.7,8.41E+04,16,26.7,23.9,29.4,5.5
Conte et al. (1998),106,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,9,NA,24,0.93,174.8,-36.3,4.80E+01,NA,18.1,15.5,21.1,5.7
Rhodes et al. (1995),107,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,5,30,20,1.18,174.8,-36.3,4.80E+01,25,18.1,15.5,21.1,5.7
Bollmann et al. (2010),108,Haptophyta,Coccolithophyceae ,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4725,Marine,NA,NA,27,1.3,-80.1,25.7,4.80E+01,NA,26.9,24.7,29.1,4.4
Bollmann et al. (2010),109,Haptophyta,Coccolithophyceae ,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4727,Marine,NA,NA,27,1.23,-80,25.7,4.80E+01,NA,26.9,24.7,29.1,4.4
Watras et al. (1982),110,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,NA,24.5,20,0.32,-70,41.8,8.84E+03,NA,8.9,2.4,16.8,14.5
Nielsen & Tonseth (1991),111,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium aureolum,Marine,NA,NA,20,0.4,10.5,59.5,3.36E+03,NA,9.2,2.1,16.7,14.6
Band-Schmidt (2004),112,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,10,32.5,29,0.21,-111.8,26.7,5.04E+04,22.5,23.3,16.4,31.3,14.9
Bravo and Anderson (1994),113,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,10,29,22.5,0.37,-9,42.4,4.01E+04,19,15.3,12.9,18.1,5.2
Sundstrom et al. (2009),114,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium corollarium clone GCTV-B4,Marine,NA,NA,4,0.33,20.3,58.9,5.24E+03,NA,7.6,1.2,16.6,15.4
